iter	Passed	Remaining
276	387	1010
277	387	1007
278	388	1004
279	389	1001
280	390	998
281	391	996
282	392	993
283	392	990
284	393	987
285	394	984
286	395	981
287	396	979
288	396	976
289	397	972
290	398	970
291	399	968
292	400	966
293	401	963
294	402	961
295	402	958
296	403	955
297	404	952
298	405	950
299	406	947
300	406	945
301	407	942
302	408	939
303	409	936
304	410	934
305	410	931
306	411	929
307	412	926
308	413	924
309	414	922
310	415	921
311	416	918
312	417	915
313	418	913
314	419	911
315	420	910
316	422	909
317	423	907
318	424	905
319	425	904
320	426	902
321	427	900
322	428	898
323	430	897
324	431	896
325	432	894
326	433	892
327	435	892
328	436	889
329	437	888
330	438	886
331	439	884
332	440	882
333	441	880
334	442	878
335	443	877
336	445	875
337	446	874
338	447	873
339	448	871
340	450	870
341	451	868
342	452	866
343	453	864
344	454	862
345	455	860
346	456	858
347	457	856
348	458	855
349	459	853
350	460	851
351	462	850
352	462	848
353	463	846
354	465	845
355	466	843
356	467	841
357	468	839
358	469	837
359	470	835
360	471	834
361	472	832
362	473	830
363	474	829
364	476	828
365	477	826
366	477	824
367	478	822
368	480	821
369	481	819
370	481	817
371	482	815
372	483	813
373	484	811
374	485	809
375	486	807
376	487	804
377	488	803
378	489	801
379	490	800
380	491	798
381	492	796
382	493	795
383	494	793
384	495	791
385	496	790
386	497	788
387	498	786
388	499	784
389	500	782
390	501	780
391	502	778
392	503	776
393	504	775
394	505	774
395	507	773
396	508	772
397	509	770
398	510	768
399	511	767
400	512	765
401	512	763
402	514	761
403	515	759
404	516	758
405	517	756
406	518	754
407	519	753
408	520	751
409	521	750
410	522	748
411	523	747
412	524	745
413	525	744
414	526	742
415	527	740
416	528	738
417	529	737
418	530	735
419	531	733
420	532	732
421	533	730
422	534	729
423	535	727
424	537	726
425	538	725
426	538	723
427	540	721
428	541	720
429	542	718
430	543	716
431	543	715
432	545	713
433	546	712
434	546	710
435	547	708
436	548	706
437	549	705
438	550	703
439	551	702
440	553	701
441	554	700
442	555	698
443	556	697
444	557	695
445	558	694
446	559	692
447	560	691
448	562	689
449	563	688
450	564	686
451	565	685
452	566	684
453	567	682
454	568	681
455	569	679
456	570	678
457	571	676
458	572	675
459	573	673
460	574	672
461	575	670
462	576	668
463	577	667
464	578	665
465	579	664
466	580	663
467	582	661
468	583	660
469	584	658
470	585	657
471	586	656
472	587	654
473	588	653
474	589	651
475	590	649
476	591	648
477	592	646
478	593	645
479	594	643
480	595	642
481	596	641
482	598	640
483	599	638
